Name,City,State,Longitude,Latitude
Lakefront Airport,NEW ORLEANS,LA,-90.028297424316,30.042400360107
Billings Logan International Airport,BILLINGS,MT,-108.542999,45.807701
Camarillo International Airport,CAMARILLO,CA,-119.094002,34.213699
Mahlon Sweet Field,EUGENE,OR,-123.21199798583984,44.12459945678711
Wilmington International Airport,WILMINGTON,NC,-77.90260314941406,34.270599365234375
McClellan-Palomar Airport,CARLSBAD,CA,-117.279999,33.1283
Long Island Mac Arthur Airport,ISLIP,NY,-73.10019684,40.79520035
Roanoke–Blacksburg Regional Airport,ROANOKE,VA,-79.975403,37.3255
Lakeland Linder International Airport,LAKELAND,FL,-82.018776,27.987656
Lincoln Airport,LINCOLN,NE,-96.75920104980469,40.85100173950195
Northwest Arkansas National Airport,FAYETTEVILLE/SPRINGDALE/ROGERS,AR,-94.306801,36.281898
Bozeman Yellowstone International Airport,BOZEMAN,MT,-111.153,45.7775
Midland International Air and Space Port,MIDLAND,TX,-102.202003,31.942499
Charles M. Schulz Sonoma County Airport,SANTA ROSA,CA,-122.8130035,38.50899887
Naples Municipal Airport,NAPLES,FL,-81.7752990723,26.1525993347
Lehigh Valley International Airport,ALLENTOWN,PA,-75.442797,40.651773
Duluth International Airport,DULUTH,MN,-92.193604,46.842098
Mobile Regional Airport,MOBILE,AL,-88.242798,30.6912
Seattle Paine Field International Airport,EVERETT,WA,-122.281998,47.9063
Laurence G Hanscom Field,BEDFORD,MA,-71.289001,42.470001
Melbourne Orlando International Airport,MELBOURNE,FL,-80.645302,28.1028
Aspen-Pitkin County Airport (Sardy Field),ASPEN,CO,-106.869003,39.223202
Miami-Opa Locka Executive Airport,MIAMI,FL,-80.278397,25.907
Sacramento Executive Airport,SACRAMENTO,CA,-121.492996216,38.5125007629
Corpus Christi International Airport,CORPUS CHRISTI,TX,-97.501198,27.770399
Wilkes Barre Scranton International Airport,WILKES-BARRE/SCRANTON,PA,-75.72339630130001,41.338500976599995
Cincinnati Municipal Airport Lunken Field,CINCINNATI,OH,-84.418945,39.102357
Northeast Florida Regional Airport,ST AUGUSTINE,FL,-81.339798,29.9592
Baton Rouge Metropolitan Airport,BATON ROUGE,LA,-91.149597,30.533199
Jackson-Medgar Wiley Evers International Airport,JACKSON,MS,-90.075897,32.311199
Capital City Airport,LANSING,MI,-84.58740234375,42.77870178222656
Rochester International Airport,ROCHESTER,MN,-92.5,43.908298
Charles B. Wheeler Downtown Airport,KANSAS CITY,MO,-94.592796,39.123199
Missoula International Airport,MISSOULA,MT,-114.0910034,46.91630173
Nantucket Memorial Airport,NANTUCKET,MA,-70.06020355,41.25310135
Buchanan Field,CONCORD,CA,-122.056999,37.9897
Bismarck Municipal Airport,BISMARCK,ND,-100.74600219726562,46.772701263427734
Prescott International Airport - Ernest A. Love Field,PRESCOTT,AZ,-112.419998,34.654499
San Carlos Airport,SAN CARLOS,CA,-122.250838,37.51313
Palo Alto Airport,PALO ALTO,CA,-122.114998,37.461102
Yeager Airport,CHARLESTON,WV,-81.593201,38.3731
Newport News Williamsburg International Airport,NEWPORT NEWS,VA,-76.492996,37.131901
Grand Junction Regional Airport,GRAND JUNCTION,CO,-108.529387,39.126663
Hilton Head Airport,HILTON HEAD ISLAND,SC,-80.697502,32.2244
Portsmouth International at Pease Airport,PORTSMOUTH,NH,-70.8233032227,43.0778999329
Flagstaff Pulliam International Airport,FLAGSTAFF,AZ,-111.670998,35.1385
Bishop International Airport,FLINT,MI,-83.74359893798828,42.96540069580078
Great Falls International Airport,GREAT FALLS,MT,-111.3710022,47.48199844
Cherry Capital Airport,TRAVERSE CITY,MI,-85.58219909667969,44.74140167236328
Mesa Gateway Airport,MESA,AZ,-111.654999,33.3078
Vero Beach Regional Airport,VERO BEACH,FL,-80.417901,27.6556
Augusta Regional At Bush Field,AUGUSTA,GA,-81.9645,33.3699
Grand Canyon National Park Airport,GRAND CANYON - TUSAYAN,AZ,-112.147003,35.9524
Rogue Valley International Medford Airport,MEDFORD,OR,-122.87300109863281,42.37419891357422
General Wayne A. Downing Peoria International Airport,PEORIA,IL,-89.693298,40.6642
Eugene F. Kranz Toledo Express Airport,TOLEDO,OH,-83.8078,41.5868
Yuma International Airport / Marine Corps Air Station Yuma,YUMA,AZ,-114.609375,32.650938
Pueblo Memorial Airport,PUEBLO,CO,-104.497002,38.289101
Meadows Field,BAKERSFIELD,CA,-119.056999,35.433601
Paso Robles Municipal Airport,PASO ROBLES,CA,-120.6269989,35.67290115
Tri-Cities Regional TN/VA Airport,BLOUNTVILLE,TN,-82.407401,36.475201
Eagle County Regional Airport,EAGLE,CO,-106.9179993,39.64260101
Evansville Regional Airport,EVANSVILLE,IN,-87.5324020386,38.0369987488
Kalamazoo Battle Creek International Airport,KALAMAZOO,MI,-85.5521011352539,42.234901428222656
St George Regional Airport,ST GEORGE,UT,-113.510306,37.036389
Atlantic City International Airport,ATLANTIC CITY,NJ,-74.57720184326172,39.45759963989258
Central Illinois Regional Airport at Bloomington-Normal,BLOOMINGTON/NORMAL,IL,-88.915901,40.4771
Casper-Natrona County International Airport,CASPER,WY,-106.463997,42.908001
Trenton Mercer Airport,EWING TOWNSHIP,NJ,-74.813499,40.276699
Gulfport Biloxi International Airport,GULFPORT,MS,-89.070099,30.407301
Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,AL,-86.393997,32.300598
University of Illinois Willard Airport,SAVOY,IL,-88.276249,40.039819
Destin-Fort Walton Beach Airport,VALPARAISO,FL,-86.525398,30.4832
Appleton International Airport,APPLETON,WI,-88.519096,44.258099
Lake Tahoe Airport,SOUTH LAKE TAHOE,CA,-119.99500274658203,38.89390182495117
Shreveport Regional Airport,SHREVEPORT,LA,-93.8256,32.446602
Ithaca Tompkins Regional Airport,ITHACA,NY,-76.4583969116211,42.49100112915039
Burke Lakefront Airport,CLEVELAND,OH,-81.68329620361328,41.51750183105469
Republic Airport,FARMINGDALE,NY,-73.4133987427,40.7288017273
Easterwood Field,COLLEGE STATION,TX,-96.3638,30.5886
McAllen Miller International Airport,MCALLEN,TX,-98.237965,26.176141
